Year,Mendota,Monona
2018.0,86.0,97.0
2017.0,94.0,93.0
2016.0,65.0,81.0
2015.0,62.0,62.0
2014.0,91.0,105.0
2013.0,117.0,121.0
2012.0,87.0,101.0
2011.0,57.0,69.0
2010.0,109.0,112.0
2009.0,87.0,88.0
2008.0,97.0,104.0
2007.0,106.0,122.0
2006.0,66.0,67.0
2005.0,95.0,94.0
2004.0,101.0,97.0
2003.0,80.0,77.0
2002.0,89.0,83.0
2001.0,21.0,56.0
2000.0,115.0,108.0
1999.0,53.0,52.0
1998.0,82.0,70.0
1997.0,47.0,49.0
1996.0,102.0,96.0
1995.0,119.0,107.0
1994.0,74.0,74.0
1993.0,94.0,95.0
1992.0,108.0,108.0
1991.0,99.0,91.0
1990.0,88.0,88.0
1989.0,93.0,98.0
1988.0,97.0,93.0
1987.0,87.0,91.0
1986.0,89.0,85.0
1985.0,107.0,113.0
1984.0,85.0,92.0
1983.0,111.0,107.0
1982.0,54.0,56.0
1981.0,96.0,100.0
1980.0,93.0,86.0
1979.0,99.0,104.0
1978.0,118.0,117.0
1977.0,123.0,121.0
1976.0,115.0,103.0
1975.0,88.0,90.0
1974.0,107.0,95.0
1973.0,105.0,94.0
1972.0,97.0,90.0
1971.0,105.0,95.0
1970.0,110.0,93.0
1969.0,113.0,92.0
1968.0,108.0,101.0
1967.0,91.0,87.0
1966.0,98.0,88.0
1965.0,65.0,65.0
1964.0,120.0,114.0
1963.0,113.0,92.0
1962.0,112.0,112.0
1961.0,117.0,113.0
1960.0,108.0,98.0
1959.0,105.0,101.0
1958.0,126.0,125.0
1957.0,95.0,109.0
1956.0,111.0,92.0
1955.0,114.0,109.0
1954.0,92.0,83.0
1953.0,85.0,72.0
1952.0,81.0,93.0
1951.0,114.0,112.0
1950.0,122.0,118.0
1949.0,109.0,113.0
1948.0,96.0,92.0
1947.0,104.0,108.0
1946.0,101.0,108.0
1945.0,98.0,99.0
1944.0,92.0,89.0
1943.0,114.0,101.0
1942.0,116.0,114.0
1941.0,82.0,85.0
1940.0,96.0,127.0
1939.0,105.0,102.0
1938.0,97.0,102.0
1937.0,105.0,111.0
1936.0,121.0,123.0
1935.0,101.0,107.0
1934.0,94.0,98.0
1933.0,91.0,103.0
1932.0,115.0,107.0
1931.0,65.0,60.0
1930.0,98.0,98.0
1929.0,107.0,104.0
1928.0,96.0,96.0
1927.0,106.0,108.0
1926.0,103.0,102.0
1925.0,124.0,126.0
1924.0,105.0,103.0
1923.0,104.0,103.0
1922.0,125.0,127.0
1921.0,96.0,96.0
1920.0,81.0,85.0
1919.0,110.0,116.0
1918.0,82.0,83.0
1917.0,115.0,116.0
1916.0,116.0,116.0
1915.0,102.0,111.0
1914.0,115.0,115.0
1913.0,88.0,83.0
1912.0,99.0,104.0
1911.0,108.0,113.0
1910.0,101.0,103.0
1909.0,98.0,96.0
1908.0,106.0,118.0
1907.0,83.0,106.0
1906.0,94.0,106.0
1905.0,97.0,115.0
1904.0,108.0,111.0
1903.0,126.0,140.0
1902.0,89.0,85.0
1901.0,105.0,103.0
1900.0,107.0,118.0
1899.0,111.0,112.0
1898.0,130.0,129.0
1897.0,100.0,101.0
1896.0,110.0,123.0
1895.0,91.0,119.0
1894.0,101.0,104.0
1893.0,101.0,99.0
1892.0,112.0,117.0
1891.0,97.0,96.0
1890.0,111.0,113.0
1889.0,75.0,74.0
1888.0,88.0,87.0
1887.0,113.0,137.0
1886.0,131.0,131.0
1885.0,128.0,131.0
1884.0,124.0,121.0
1883.0,119.0,120.0
1882.0,124.0,127.0
1881.0,78.0,77.0
1880.0,161.0,160.0
1879.0,99.0,93.0
1878.0,112.0,115.0
1877.0,62.0,62.0
1876.0,130.0,132.0
1875.0,91.0,91.0
1874.0,126.0,123.0
1873.0,136.0,136.0
1872.0,144.0,141.0
1871.0,126.0,142.0
1870.0,99.0,100.0
1869.0,131.0,138.0
1868.0,127.0,126.0
1867.0,110.0,108.0
1866.0,123.0,128.0
1865.0,125.0,125.0
1864.0,118.0,117.0
1863.0,125.0,131.0
1862.0,104.0,119.0
1861.0,132.0,133.0
1860.0,117.0,129.0
1859.0,110.0,111.0
1858.0,96.0,94.0
1857.0,121.0,119.0
1856.0,151.0,151.0
1855.0,118.0,118.0
